userId,tagId,tweetId
10704,1293,160232
22115,746,31415
15382,975,106965
22513,196,27360
19722,1173,58327
16482,1924,94092
5819,260,71929
7104,1694,198998
16347,732,96358
21434,239,38597
7793,1500,190681
5262,123,14791
11041,1685,156443
7903,447,189675
17487,786,82892
488,2667,278075
15602,739,104673
20183,1123,53261
12628,1116,139640
20116,750,54370
14942,1760,111889
4333,2857,230208
1283,1457,267918
20567,982,49870
6651,163,204253
20567,224,49509
7904,73,189568
2346,710,254465
10988,584,157338
7339,1143,196425
6747,361,203230
15935,473,100851
4301,141,15602
17596,130,81711
9905,1254,168262
4584,409,227686
22072,384,31799
12760,1980,137856
10342,865,164130
8117,2217,186857
9947,907,167836
10444,1885,162785
18250,1428,74223
11652,1945,149161
4943,160,223813
2916,71,247613
20567,2738,49367
2735,838,249561
12669,1113,138953
5989,576,212198
18559,344,71320
19365,2303,61581
11601,1356,149905
4306,2360,230612
14676,505,114777
2019,117,258448
8844,264,179546
14541,1078,102447
7430,601,195371
1386,435,266465
16595,7,93072
5819,472,214272
23068,1491,20810
9158,1004,176473
15903,2789,101350
2116,558,256949
16513,864,93893
652,1527,276201
13034,1116,133539
22879,191,23430
1983,1275,258983
11135,260,155557
21095,1406,43249
16309,333,96781
14649,108,115275
15529,1731,105149
3254,59,243062
16289,564,97010
14206,9,120860
10926,676,157700
4183,266,231947
6568,148,205057
13369,22,130068
21794,873,34734
15933,2274,100882
304,101,279729
6944,1914,200717
19357,101,61646
22273,10,29884
18649,691,70389
22440,2169,28330
17981,41,77012
8848,2696,179501
20160,340,53585
7990,1191,188368
11654,1433,149152
18447,1395,72503
11740,1398,148365
5071,121,222476
14444,2313,117845
5875,1818,14284
9161,163,176177
21741,1336,35284
1936,889,259680
9502,91,172583
20371,372,2343
15247,1762,108365
22988,446,21660
16792,2784,90595
17848,2553,79036
6530,745,205353
13340,747,130443
9959,1439,167468
21437,123,860
13115,2154,132802
14342,48,119047
14280,912,119824
2017,1037,258497
20225,334,52851
1786,378,261783
11601,1356,149835
6225,98,208953
499,1007,277753
10254,712,10741
10859,764,158483
939,10,272370
13535,1915,128607
18172,18,74910
20183,2729,53309
6733,2843,203356
6544,249,205145
12578,1266,140122
21563,740,37049
14342,123,119040
15149,773,109557
10753,691,159618
9305,2724,174478
2007,382,258633
4166,863,232359
5107,28,221961
21980,519,32420
14559,1825,116597
17685,700,80609
20810,408,1963
12862,1220,135586
14931,102,111950
14729,2799,114120
20787,335,1989
22867,64,23559
1318,1212,267601
11747,342,148333
11370,2146,152259
15731,409,103192
14950,1134,111832
873,2484,273371
1155,91,269503
14530,1828,116848
4921,2337,224085
7804,652,4686
6225,990,208932
117,1527,281398
2471,950,252885
7111,600,198946
5328,1703,218858
13851,2553,125101
11143,67,155472
21044,1327,43899
15316,94,107430
6591,2278,204861
11699,1581,148827
13339,366,130459
2999,505,246733
11465,690,151296
9037,1195,177696
2535,263,17100
16167,1563,98391
3445,1893,241035
8104,2697,187074
1914,2447,259860
6114,1524,210642
19929,1142,56536
14414,2275,118357
1609,1881,264022
16819,192,90295
12377,610,142239
357,769,279380
3192,226,243902
16884,1,89365
4242,343,231077
8498,468,182974
13798,61,125717
19859,2728,57306
8311,692,12314
8641,823,181845
20637,726,43101
10911,2825,158005
14077,1871,122860
21726,379,35387
18381,1237,73217
409,2499,278967
6794,163,202708
15008,360,111030
10017,260,167093
5767,101,214714
488,1197,278219
10798,91,159179
7941,676,189124
10030,922,166928
787,2488,274359
13312,1934,130809
17234,42,85465
10507,1591,162171
19720,1549,58354
20603,1016,48800
22625,2420,26259
5305,384,14748
629,1118,276398
17987,59,76788
21530,1539,37637
2452,825,253249
19840,4,57466
17393,355,84132
12128,657,144803
16453,106,94441
3770,19,237340
17608,261,81623
2967,261,247013
15943,1208,100807
17896,360,4383
3695,18,238295
12015,1754,145840
12756,1486,137921
16619,1286,92875
8755,233,180461
19101,172,65977
4997,1224,15017
9767,1598,169572
16355,151,96066
11773,311,148121
2594,1337,251184
16595,1513,93123
8624,656,181980
11467,2061,151252
8906,2037,178763
1826,935,261275
16376,600,95420
2581,2865,251397
3057,811,245540
10998,1189,157017
6937,739,200888
5144,434,655
12885,998,135200
21403,654,38850
12979,1995,134236
16258,1640,97335
1873,2350,260632
21836,2600,34029
2129,1190,256798
12594,2754,139945
16532,2616,93766
14425,23,118097
19768,2438,57906
4424,804,15491
18865,591,68351
14665,202,114928
11817,722,147836
11723,1774,148666
8844,180,179578
13686,2809,126993
3424,820,241535
9087,51,11706
16270,2652,97279
2972,813,246995
1987,1275,17579
10227,1476,165191
16467,351,796
15319,324,287
3252,411,16507
19066,1897,66451
16694,1409,91559
17881,1803,78223
7750,277,191323
3977,661,234404
13611,1309,127903
16956,2657,88891
4025,710,233962
9945,2828,167903
504,211,277668
10712,1519,10375
21773,357,35051
5035,65,222911
8045,2223,187870
2616,677,250872
21292,2082,40448
14906,441,112165
11062,180,156195
22988,770,21668
20284,582,2400
18816,1345,68776
14359,1359,118853
22837,1701,23784
5223,1074,220117
1941,2510,259655
3748,1171,237628
10992,286,157102
9957,45,167602
12885,1532,135193
15283,1089,107762
3336,2400,242367
7941,101,189173
13469,999,8036
10189,2124,165513
12790,887,136632
5209,2081,220403
4518,180,228283
6660,582,204104
4472,1892,228559
2658,2557,250471
10796,196,159217
15853,591,101730
6653,1365,204235
22966,975,21928
5128,2855,221547
22405,1283,28683
1983,394,259011
17718,10,80348
18081,197,75857
4468,261,228645
21930,1565,33158
6450,745,206252
17688,689,4559
4690,442,15264
16136,1221,98833
3398,875,3285
19172,1276,64851
23159,9,9
20204,60,2461
20051,2682,55266
7475,1427,194793
14855,521,112695
8376,1309,184061
20331,1004,287
20809,1010,46909
16520,880,93814
